Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Callinectes similis	similis	Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	Callinectes	Callinectes similis
Stenorhynchus seticornis	seticornis	Animalia	Arthropoda	Insecta	Coleoptera	Brentidae	Stenorhynchus	Stenorhynchus seticornis
Raninoides louisianensis	louisianensis	Animalia	Arthropoda	Malacostraca	Decapoda	Raninidae	Raninoides	Raninoides louisianensis
Alpheus heterochaelis	heterochaelis	Animalia	Arthropoda	Malacostraca	Decapoda	Alpheidae	Alpheus	Alpheus heterochaelis
Aristaeomorpha foliacea	foliacea	Animalia	Arthropoda	Malacostraca	Decapoda	Aristeidae	Aristaeomorpha	Aristaeomorpha foliacea
Leptochela bermudensis	bermudensis	Animalia	Arthropoda	Malacostraca	Decapoda	Pasiphaeidae	Leptochela	Leptochela bermudensis
Mesothuria lactea	lactea	Animalia	Echinodermata	Holothuroidea	Aspidochirotida	Synallactidae	Zygothuria	Zygothuria lactea
Euarche tubifex	tubifex	Animalia	Annelida	Polychaeta	Aciculata	Acoetidae	Eupanthalis	Eupanthalis tubifex
Phyllodoce madeirensis	madeirensis	Animalia	Annelida	Polychaeta	Aciculata	Phyllodocidae	Anaitides	Anaitides madeirensis
Stereomastis sculpta	sculpta	Animalia	Arthropoda	Malacostraca	Decapoda	Polychelidae	Polycheles	Polycheles sculptus
Lyreidus bairdii	bairdii	Animalia	Arthropoda	Malacostraca	Decapoda	Raninidae	Lysirude	Lysirude nitidus
Pinnotheres ostreum	ostreum	Animalia	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Zaops	Zaops ostreum
Thenea fenestrata	fenestrata	Animalia	Porifera	Demospongiae	Astrophorida	Pachastrellidae	Thenea	Thenea fenestrata
Cheiraster planus	planus	Animalia	Echinodermata	Asteroidea	Notomyotida	Benthopectinidae	Cheiraster	Cheiraster planus
Benthodytes lingua	lingua	Animalia	Echinodermata	Holothuroidea	Elasipodida	Psychropotidae	Benthodytes	Benthodytes lingua
Molpadia parva	parva	Animalia	Echinodermata	Holothuroidea	Molpadiida	Molpadiidae	Molpadia	Molpadia parva
Pseudarchaster gracilis	gracilis	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Pseudarchaster	Pseudarchaster gracilis
Ctenitis melanosticta	melanosticta					Dryopteridaceae	Ctenitis	Ctenitis melanosticta
Chaetoceros diversus	diversus	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros diversus
Chaetoceros lorenzianus	lorenzianus	Chromista	Ochrophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros lorenzianus
